Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
14.0,3.0,750.0,26.0,0.0
23.0,19.0,4750.0,62.0,0.0
11.0,7.0,1750.0,75.0,0.0
14.0,3.0,750.0,28.0,0.0
20.0,14.0,3500.0,69.0,1.0
4.0,2.0,500.0,46.0,0.0
11.0,2.0,500.0,25.0,0.0
11.0,3.0,750.0,37.0,0.0
16.0,4.0,1000.0,33.0,0.0
21.0,7.0,1750.0,38.0,0.0
13.0,7.0,1750.0,76.0,0.0
16.0,6.0,1500.0,50.0,0.0
14.0,3.0,750.0,33.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
14.0,1.0,250.0,14.0,0.0
17.0,7.0,1750.0,58.0,1.0
14.0,3.0,750.0,35.0,0.0
14.0,3.0,750.0,35.0,0.0
16.0,7.0,1750.0,64.0,0.0
21.0,2.0,500.0,21.0,0.0
16.0,3.0,750.0,35.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
16.0,1.0,250.0,16.0,0.0
14.0,2.0,500.0,29.0,0.0
11.0,4.0,1000.0,74.0,0.0
11.0,2.0,500.0,38.0,1.0
21.0,6.0,1500.0,48.0,0.0
23.0,2.0,500.0,23.0,0.0
23.0,6.0,1500.0,45.0,0.0
14.0,2.0,500.0,35.0,1.0
16.0,6.0,1500.0,81.0,0.0
16.0,4.0,1000.0,58.0,0.0
16.0,5.0,1250.0,71.0,0.0
21.0,2.0,500.0,26.0,0.0
21.0,3.0,750.0,35.0,0.0
21.0,3.0,750.0,35.0,0.0
23.0,8.0,2000.0,69.0,0.0
21.0,3.0,750.0,38.0,0.0
23.0,3.0,750.0,35.0,0.0
21.0,3.0,750.0,40.0,0.0
23.0,2.0,500.0,28.0,0.0
21.0,1.0,250.0,21.0,0.0
21.0,1.0,250.0,21.0,0.0
25.0,6.0,1500.0,50.0,0.0
21.0,1.0,250.0,21.0,0.0
21.0,1.0,250.0,21.0,0.0
23.0,3.0,750.0,39.0,0.0
21.0,2.0,500.0,33.0,0.0
14.0,3.0,750.0,79.0,0.0
23.0,1.0,250.0,23.0,1.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,4.0,1000.0,52.0,0.0
23.0,1.0,250.0,23.0,0.0
23.0,7.0,1750.0,88.0,0.0
16.0,3.0,750.0,86.0,0.0
23.0,2.0,500.0,38.0,0.0
21.0,2.0,500.0,52.0,0.0
23.0,3.0,750.0,62.0,0.0
39.0,1.0,250.0,39.0,0.0
72.0,1.0,250.0,72.0,0.0
3.512020713241833,10.0,2500.0,28.0,1.0
4.0,3.0,750.0,16.24290500722799,1.0
5.537879522000844,3.0,750.0,61.24157963666339,1.0
2.2159068896457734,8.0,2000.0,38.21590688964577,1.0
2.737722748005474,9.0,2250.0,23.47544549601095,1.0
2.0,3.0,750.0,7.974056517708242,1.0
4.0,5.0,1250.0,16.0,1.0
3.153807769252718,7.0,1750.0,18.615231077010872,1.0
2.0,45.43265924436977,11358.164811092443,98.0,1.0
3.609514024403911,6.0,1500.0,16.0,1.0
3.2775478847384947,4.0,1000.0,32.88567038633893,1.0
2.5615447248817116,2.0,500.0,4.0,1.0
2.0,2.0,500.0,11.0,1.0
5.19074933683549,13.354527704092833,3338.631926023208,74.9364168877215,1.0
3.645778641185902,12.177110679407049,3044.2776698517623,33.6457786411859,1.0
4.0,6.0,1500.0,35.357248493882516,1.0
1.1382142689922379,10.0,2500.0,42.30892865503881,1.0
3.2770341466932713,7.0,1750.0,58.0,1.0
2.7403174005108886,11.0,2750.0,48.883808806130666,1.0
4.015456616528867,7.0,1750.0,22.06182646611547,1.0
2.0,11.0,2750.0,45.56991137552635,1.0
3.1436317033653713,8.0,2000.0,42.57452681346149,1.0
2.066690361912661,11.0,2750.0,40.800284342951926,1.0
2.0,1.0,250.0,2.0,1.0
14.0,4.0,1000.0,27.2650472773368,1.0
4.0,1.0,250.0,4.0,1.0
2.0,1.0,250.0,2.0,1.0
7.9579567006179985,5.0,1250.0,50.40454668606743,1.0
2.0,3.0,750.0,7.415389974218612,1.0
2.0,7.0,1750.0,48.03391296023311,1.0
4.0,5.0,1250.0,15.1136025249167,1.0
2.574607032552972,13.06384522583922,3265.9613064598047,54.276904516784384,1.0
8.87220857672481,8.0,2000.0,50.78411918669989,1.0
3.710183510268095,7.0,1750.0,20.84073404107238,1.0
4.902823506229232,7.0,1750.0,26.583058962624612,1.0
2.0,12.61500722669917,3153.7518066747925,73.69004336019502,1.0
4.069623049270157,1.0,250.0,4.069623049270157,1.0
20.019411893344333,2.0,500.0,21.0,1.0
8.816703476362633,4.0,1000.0,17.853362781090105,1.0
1.1226269280720444,15.877373071927956,3969.343267981989,36.71677699300862,1.0
11.777694146737387,8.0,2000.0,51.48153723550841,1.0
3.394031481990536,5.0,1250.0,16.0,1.0
12.512420419935546,2.0,500.0,14.595031832025782,1.0
2.7189823024395103,4.0,1000.0,10.405088487802448,1.0
2.0,2.0,500.0,10.706408155735506,1.0
2.3812776890429728,5.0,1250.0,16.0,1.0
2.0,6.0,1500.0,25.240453578716725,1.0
10.595132177038757,2.0,500.0,16.66463840709948,1.0
13.739721657669413,2.0,500.0,35.26027834233059,1.0
17.420603207973436,3.0,750.0,22.420603207973436,1.0
7.510614062810397,9.0,2250.0,55.05155401936479,1.0
4.0,4.0,1000.0,27.6136385682658,1.0
5.150324623000113,9.0,2250.0,39.50180346111174,1.0
4.7019668772577035,7.0,1750.0,24.807867509030814,1.0
15.591585338872202,5.0,1250.0,37.54951203323321,1.0
2.109994658182434,1.0,250.0,2.109994658182434,1.0
2.648019372593857,30.63403390203925,7658.508475509812,90.56410654926621,1.0
2.751165905279888,7.0,1750.0,17.00466362111955,1.0
7.375927759363476,9.0,2250.0,87.40230702270523,1.0
2.843439718007652,19.578280140996174,4894.570035249044,55.121276616091826,1.0
4.0,8.0,2000.0,40.21565364278045,1.0
6.190382163192141,5.0,1250.0,42.3440198186754,1.0
3.0852892694151532,33.45735536529242,8364.338841323106,88.3955373288591,1.0
2.0,2.0,500.0,10.286541252128284,1.0
1.5908332605690108,15.40916673943099,3852.2916848577474,43.27166564796615,1.0
4.0,9.0,2250.0,37.633997000731405,1.0
4.0,6.0,1500.0,35.11204456624764,1.0
2.0,1.0,250.0,2.0,1.0
15.597140378831057,2.0,500.0,17.39809358588737,1.0
2.0,7.0,1750.0,54.69642667105099,1.0
2.9555134798903913,5.0,1250.0,11.0,1.0
2.4600128938027783,5.0,1250.0,33.0,1.0
9.057610752528412,3.0,750.0,16.0,1.0
4.0,1.0,250.0,4.0,1.0
8.57326267503116,5.0,1250.0,49.63444056009971,1.0
3.8966365576627844,6.0,1500.0,35.0,1.0
4.468645368431852,39.092389789614074,9773.09744740352,98.0,1.0
2.0,2.0,500.0,4.0,1.0
2.0,6.0,1500.0,16.0,1.0
15.91736066394137,2.0,500.0,15.91736066394137,1.0
2.3622188080619804,7.0,1750.0,58.0,1.0
6.646703134710758,5.0,1250.0,41.836996516988044,1.0
2.0,47.73930468941128,11934.82617235282,94.12452232470505,1.0
3.590372389537407,5.0,1250.0,35.86739327323815,1.0
19.64583874368963,3.0,750.0,24.64583874368963,1.0
4.0,9.0,2250.0,26.877942841411272,1.0
4.0,16.0,4000.0,93.29261711946404,1.0
4.0,1.0,250.0,4.0,1.0
6.112054755966225,2.0,500.0,11.186757926610374,1.0
2.3280397589755886,5.0,1250.0,16.0,1.0
4.0,1.0,250.0,4.0,1.0
2.0,6.0,1500.0,25.54628233351438,1.0
9.440351119362388,3.0,750.0,39.65341135985831,1.0
4.0,5.0,1250.0,14.312874085342171,1.0
4.0,16.749757101835403,4187.439275458852,70.7497571018354,1.0
2.9015466705877593,5.0,1250.0,19.155413347057156,1.0
3.4291918454001244,3.0,750.0,39.27020386499688,1.0
3.6601973767177314,1.0,250.0,3.6601973767177314,1.0
3.4401322061081143,8.0,2000.0,39.44013220610812,1.0
19.593787525968747,14.0,3500.0,69.18053887734722,1.0
3.475793833391537,3.0,750.0,28.40734008295501,1.0
3.108708105022801,6.0,1500.0,28.0,1.0
4.388279253765647,7.0,1750.0,23.55311701506259,1.0
4.0,5.0,1250.0,16.0,1.0
2.495461979002315,6.0,1500.0,41.0,1.0
2.711945357302523,2.0,500.0,4.0,1.0
3.515692220928738,8.0,2000.0,44.06276888371495,1.0
2.0287869772595117,11.985606511370245,2996.401627842561,69.91363906822147,1.0
3.7410896076037434,7.0,1750.0,58.0,1.0
11.460026420217527,2.0,500.0,37.2179550856302,1.0
2.7331184417414622,14.0,3500.0,48.855304848698374,1.0
4.0,6.0,1500.0,35.433618247966976,1.0
2.0,4.0,1000.0,14.592684281239952,1.0
4.0,6.0,1500.0,25.629130854563375,1.0
3.804331678697997,5.0,1250.0,16.0,1.0
8.916158751168323,4.0,1000.0,24.5251523746495,1.0
12.579584687658302,4.0,1000.0,19.68569760453604,1.0
2.0,6.0,1500.0,15.0,1.0
2.0,11.0,2750.0,43.396890104572165,1.0
2.19551420319212,16.398504734397374,4099.626183599344,49.34617043830544,1.0
4.689049313634484,11.0,2750.0,43.45734911753005,1.0
2.0,6.0,1500.0,19.445655556073508,1.0
10.682871931595688,1.0,250.0,10.682871931595688,1.0
9.628486468361759,3.0,750.0,14.749225229252943,1.0
8.489681011429163,6.0,1500.0,35.0,1.0
2.0,1.0,250.0,2.0,1.0
2.0,13.143510158811678,3285.8775397029194,53.57404063524671,1.0
2.6826127367621098,38.26954905295156,9567.38726323789,98.0,1.0
14.0,4.0,1000.0,22.977606562488578,1.0
2.0,6.0,1500.0,15.07056874740043,1.0
0.7151614435873688,13.0,3250.0,36.93951804484211,1.0
11.079533931624866,5.0,1250.0,36.7613982051254,1.0
2.0,47.100429068914245,11775.10726722856,93.02930697528156,1.0
4.298848792875212,8.0,2000.0,39.88046048284991,1.0
4.0,12.42452582212412,3106.13145553103,36.12262911062061,1.0
4.0,1.0,250.0,4.0,1.0
3.2865764368847064,3.0,750.0,21.78959396598118,1.0
8.582528904915167,4.0,1000.0,26.916505780983034,1.0
2.3631496320521954,16.0,4000.0,63.6261422730961,1.0
4.585351912234749,3.0,750.0,16.175605573670424,1.0
2.0,7.0,1750.0,33.841692086597675,1.0
2.0,6.0,1500.0,15.0,1.0
3.8107012839121275,9.0,2250.0,36.48561027129702,1.0
3.608417730421407,7.0,1750.0,23.957911347892964,1.0
4.485529106126158,17.0,4250.0,71.55489040700132,1.0
11.891441984848306,3.0,750.0,14.201556002754852,1.0
4.0,6.0,1500.0,34.87244722043915,1.0
4.716671117732215,45.52778519622036,11381.94629905509,98.0,1.0
3.366013546832714,5.0,1250.0,13.04902032024907,1.0
10.501679460778398,9.0,2250.0,68.86769946774993,1.0
4.0,1.0,250.0,4.0,1.0
4.171745646427636,7.0,1750.0,52.360112250252364,1.0
2.0,6.0,1500.0,27.953456128528348,1.0
2.0,1.0,250.0,2.0,1.0
3.7181452252266,10.0,2500.0,29.409273873867,1.0
2.2363296552433125,5.0,1250.0,16.0,1.0
6.548942519537741,7.0,1750.0,58.0,1.0
2.0,6.0,1500.0,28.0,1.0
14.245055972945893,5.0,1250.0,29.470335837675364,1.0
2.5298579123922282,2.0,500.0,4.0,1.0
2.0,35.37563348730606,8843.908371826516,81.12690046191818,1.0
2.564069145142613,3.0,750.0,34.333550556573016,1.0
3.1774395437797227,5.0,1250.0,12.354879087559446,1.0
2.4987704967182833,11.0,2750.0,46.73586071226026,1.0
3.6136694785345282,36.28380943245651,9070.952358114127,98.0,1.0
3.9810102840013464,4.0,1000.0,14.018989715998654,1.0
8.111676261620016,9.0,2250.0,53.84482221589724,1.0
5.860090428963916,11.0,2750.0,58.419728713108256,1.0
2.8943481570320126,2.0,500.0,11.0,1.0
14.955178758481892,7.0,1750.0,59.363214161012074,1.0
4.0,6.0,1500.0,28.692426743964354,1.0
4.7079362407849406,8.0,2000.0,34.56634899262795,1.0
2.0,2.0,500.0,4.0,1.0
3.252613203374492,16.750871067791497,4187.717766947874,62.031358440493904,1.0
5.718199881407224,1.0,250.0,5.718199881407224,1.0
5.753105770210855,2.0,500.0,47.90628393492202,1.0
10.1229761601161,3.0,750.0,39.805105813359134,1.0
4.0,5.0,1250.0,16.0,1.0
4.429595474491617,7.0,1750.0,44.024211762397435,1.0
8.080942419581623,3.0,750.0,59.31756954950002,1.0
2.208953543007599,2.0,500.0,4.0,1.0
4.0,9.0,2250.0,34.10798321265837,1.0
20.924136439637913,2.0,500.0,21.15172712072418,1.0
4.0,10.0,2500.0,28.0,1.0
4.0,16.091286676786133,4022.8216691965335,70.09128667678614,1.0
14.63862727518083,5.0,1250.0,31.831763651084977,1.0
4.0,1.0,250.0,4.0,1.0
2.0,7.0,1750.0,32.14817855918733,1.0
3.1468757762465724,11.426562111876715,2856.6405279691785,66.55937267126028,1.0
1.7363255756604015,10.0,2500.0,39.31837212169799,1.0
3.1031089560433607,8.0,2000.0,26.89689104395664,1.0
16.05247540188645,2.0,500.0,21.0,1.0
2.657329090739832,10.0,2500.0,28.0,1.0
6.584741614921462,6.0,1500.0,35.0,1.0
2.0,11.0,2750.0,70.82835947144343,1.0
5.8757886064673635,3.0,750.0,15.583158087451697,1.0
9.106563285150985,4.0,1000.0,15.579236285589108,1.0
3.8175877939026193,9.0,2250.0,36.54070235122096,1.0
3.011159390594837,12.0,3000.0,40.42746396113356,1.0
3.0575587600166445,4.0,1000.0,28.827323719950066,1.0
15.504711176762644,1.0,250.0,15.504711176762644,1.0
2.883061002746754,5.0,1250.0,16.0,1.0
4.786070720691901,3.0,750.0,26.684437258625504,1.0
11.087189824270897,7.0,1750.0,72.61248448536477,1.0
3.765865967144788,33.117067016427605,8279.266754106902,95.54159265502028,1.0
3.142991682052836,4.0,1000.0,28.571024953841494,1.0
3.5230212634349445,9.0,2250.0,34.18417010747956,1.0
3.6182180633162613,19.763563873367477,4940.89096834187,58.691887709539046,1.0
10.089895914894887,3.0,750.0,39.79775464775442,1.0
2.0,7.0,1750.0,55.81322304101007,1.0
10.71066044605032,4.0,1000.0,28.29903086854088,1.0
2.0,2.0,500.0,11.0,1.0
4.0,16.821860059290355,4205.465014822589,65.12138195658176,1.0
4.056304409904526,5.0,1250.0,48.17503109137402,1.0
2.0,1.0,250.0,2.0,1.0
13.745486857744424,4.0,1000.0,21.49097371548885,1.0
2.0,7.0,1750.0,32.04008126449647,1.0
3.2514584084877596,5.0,1250.0,16.0,1.0
3.2587157058662184,6.0,1500.0,24.853210735334454,1.0
4.0,5.0,1250.0,25.246405192909968,1.0
4.0,4.0,1000.0,33.57798861907087,1.0
2.0,11.0,2750.0,46.46196489384526,1.0
2.4932436294821168,4.0,1000.0,11.533781852589417,1.0
2.0,13.0,3250.0,39.90145129614923,1.0
3.8329985666026625,2.0,500.0,4.0,1.0
2.4457061681451266,8.0,2000.0,29.33711850443538,1.0
2.0,1.0,250.0,2.0,1.0
2.848444018493953,7.0,1750.0,27.757779907530235,1.0
19.157189465852625,14.0,3500.0,69.37458245962105,1.0
4.0,1.0,250.0,4.0,1.0
3.0147497914182817,37.92625104290859,9481.562760727147,92.08849874850969,1.0
2.0,2.0,500.0,10.01135364476742,1.0
1.4686606419941262,10.0,2500.0,35.97009037008811,1.0
3.8873934486363253,6.0,1500.0,23.281516378409187,1.0
2.881182083731928,1.0,250.0,2.881182083731928,1.0
2.3525787403313148,7.0,1750.0,33.942263779006055,1.0
3.298420604232127,5.0,1250.0,16.0,1.0
3.4920897585308466,11.0,2750.0,57.90507710237016,1.0
4.0,1.0,250.0,4.0,1.0
2.075654903050916,6.0,1500.0,35.226964709152746,1.0
2.5005176819051838,13.0,3250.0,34.876423625239255,1.0
0.8571362588455822,24.571439568590698,6142.859892147674,66.28578906641674,1.0
14.0,4.0,1000.0,27.21159476913676,1.0
2.0,7.0,1750.0,33.43482913036383,1.0
4.0,5.0,1250.0,16.0,1.0
2.0,8.0,2000.0,28.085081322828714,1.0
4.0,1.0,250.0,4.0,1.0
10.697880616345968,5.0,1250.0,36.91368017609885,1.0
4.761998204113502,16.10885688630193,4027.214221575482,70.97971197671735,1.0
17.3060922363959,2.0,500.0,28.387815527208197,1.0
4.0,5.0,1250.0,16.049246427164896,1.0
10.254541600501781,5.0,1250.0,50.8524068705292,1.0
2.0,1.0,250.0,2.0,1.0
8.785117749333693,5.0,1250.0,50.87721014247639,1.0
3.0461956883402976,5.0,1250.0,40.722825869958214,1.0
2.0,8.0,2000.0,32.40579046694684,1.0
2.0,36.12975917710768,9032.43979427692,83.38927753132305,1.0
2.9090821295355465,20.09091787046445,5022.729467616114,59.727198101052146,1.0
2.0,6.0,1500.0,16.0,1.0
7.258828807307902,4.0,1000.0,15.1686286238462,1.0
2.0,8.0,2000.0,34.308106073436925,1.0
2.0,49.681875337609796,12420.468834402449,97.45464343590251,1.0
2.71903681040777,5.0,1250.0,11.71903681040777,1.0
3.9008229681531175,4.0,1000.0,25.504114840765588,1.0
16.548681080545418,3.0,750.0,21.548681080545418,1.0
9.44343247214287,2.0,500.0,11.721716236071435,1.0
4.0,2.0,500.0,4.0,1.0
3.445237634037735,6.0,1500.0,24.386905914905665,1.0
4.0,5.0,1250.0,32.74254608331486,1.0
4.0,1.0,250.0,4.0,1.0
4.0,16.0,4000.0,59.20113368156317,1.0
2.0,14.583656111850871,3645.914027962718,52.33075110519302,1.0
3.399223465369727,14.0,3500.0,49.63242737626468,1.0
3.948789615332333,5.0,1250.0,16.0,1.0
2.0,6.0,1500.0,22.08273553312238,1.0
1.2073531439210194,13.0,3250.0,31.320221145782803,1.0
3.072192732688241,7.0,1750.0,26.639036336558796,1.0
4.0,1.0,250.0,4.0,1.0
2.3724099605861024,4.0,1000.0,14.0,1.0
11.630537654892242,3.0,750.0,15.369462345107758,1.0
5.626169393448913,3.0,750.0,24.02429836393065,1.0
4.0,16.089072815506157,4022.2682038765392,95.59503398133374,1.0
2.0,8.0,2000.0,29.242239299537818,1.0
2.100400173416152,6.0,1500.0,15.050200086708076,1.0
4.0,1.0,250.0,4.0,1.0
7.0670759796789495,11.0,2750.0,54.79877206096315,1.0
4.0,5.0,1250.0,29.76418732661557,1.0
2.0,7.0,1750.0,29.21088729962776,1.0
13.866063889500408,3.0,750.0,18.330319447502042,1.0
13.547813298938106,2.0,500.0,35.72349872169903,1.0
0.05273394899450401,25.841798153016487,6460.449538254122,75.18262379058518,1.0
2.752926733756099,4.0,1000.0,14.0,1.0
11.568340007654502,8.0,2000.0,51.621106661563665,1.0
2.025447741370111,7.0,1750.0,34.961828387944834,1.0
2.3008337822070564,5.0,1250.0,16.0,1.0
2.3765228614085405,22.43521570788719,5608.803926971797,71.84108499253506,1.0
6.66623599641715,17.0,4250.0,74.04712685304817,1.0
2.0601712043707936,6.0,1500.0,15.030085602185396,1.0
4.0,5.0,1250.0,16.0,1.0
2.3233425905777243,3.0,750.0,16.0,1.0
8.561704237129584,3.0,750.0,30.032216283485504,1.0
2.0,1.0,250.0,2.0,1.0
4.0,16.0,4000.0,90.34460198594023,1.0
3.8308735100472187,10.0,2500.0,28.845632449763908,1.0
4.0,6.0,1500.0,23.676388118724734,1.0
4.0,1.0,250.0,4.0,1.0
2.0,1.0,250.0,2.0,1.0
11.010089488778284,8.0,2000.0,51.99327367414781,1.0
4.0,19.44456829439737,4861.142073599343,69.0,1.0
2.462025169638979,20.76898741518051,5192.246853795127,55.92721394193132,1.0
19.950548867766134,3.0,750.0,28.70647923576103,1.0
2.0,6.0,1500.0,27.699294781354823,1.0
2.7526518982568025,1.0,250.0,2.7526518982568025,1.0
17.153808947170653,3.0,750.0,22.153808947170653,1.0
4.0,16.129159415151495,4032.2898537878737,42.26226069999933,1.0
10.678357190811056,2.0,500.0,38.59733664563661,1.0
11.0926195167632,7.0,1750.0,58.0,1.0
13.57035791744806,7.0,1750.0,58.0,1.0
3.671700684405857,5.0,1250.0,11.328299315594144,1.0
2.7637435190842083,6.0,1500.0,38.708769442747375,1.0
12.925511845901479,4.0,1000.0,19.851023691802958,1.0
4.0,9.0,2250.0,27.77288481560074,1.0
4.0,1.0,250.0,4.0,1.0
2.0,6.0,1500.0,37.87815379457724,1.0
2.0,42.544636783471276,10636.15919586782,88.73217929917233,1.0
2.0,13.0,3250.0,53.11280595107229,1.0
4.0,6.0,1500.0,23.7390924984073,1.0
3.1038136775489713,5.0,1250.0,16.0,1.0
2.0,1.0,250.0,2.0,1.0
5.5066144106333805,21.876653602658344,5469.163400664586,30.96031353619972,1.0
16.403482866212396,7.0,1750.0,75.29899687984049,1.0
13.597954314648078,2.0,500.0,35.40204568535192,1.0
2.0,49.79852126580663,12449.630316451658,97.65460788423994,1.0
8.79623530106257,5.0,1250.0,36.020549022694475,1.0
3.1390713459396062,7.0,1750.0,29.72185730812079,1.0
3.7040797680992235,10.0,2500.0,29.479601159503883,1.0
9.509250869437626,3.0,750.0,16.0,1.0
2.2727429511735395,10.0,2500.0,28.0,1.0
2.0,11.0,2750.0,46.4799739670401,1.0
0.701175117613194,13.0,3250.0,44.828202822716655,1.0
2.0,7.0,1750.0,30.87057619201757,1.0
3.607755954900268,10.0,2500.0,29.96122022549866,1.0
3.5625250779762707,10.0,2500.0,30.187374610118646,1.0
3.9041586944937485,1.0,250.0,3.9041586944937485,1.0
2.696510934046601,2.0,500.0,4.0,1.0
4.513989489159811,7.0,1750.0,24.055957956639244,1.0
4.0,1.0,250.0,4.0,1.0
3.2069144353574597,9.0,2250.0,25.620743306072377,1.0
2.0,14.622086700227873,3655.5216750569684,48.622086700227875,1.0
2.0,11.137636291253255,2784.4090728133137,41.82581774751953,1.0
2.1009587526847158,13.0,3250.0,52.293288731206985,1.0
2.0,13.0,3250.0,35.0885430995098,1.0
10.248010372254596,5.0,1250.0,50.85317525032299,1.0
2.9842325861590764,20.015767413840923,5003.941853460231,60.36597698235215,1.0
4.0,1.0,250.0,4.0,1.0
4.0,1.0,250.0,4.0,1.0
3.019967424714523,10.0,2500.0,32.90016287642739,1.0
14.0,2.0,500.0,17.448326657950087,1.0
4.013745169137476,7.0,1750.0,27.97250966172505,1.0
3.2668017086334515,6.0,1500.0,28.0,1.0
2.4802912375563864,8.0,2000.0,29.44087371266916,1.0
10.289676577847287,5.0,1250.0,50.84827334378267,1.0
13.613360834268052,4.0,1000.0,21.226721668536104,1.0
3.8719541610422277,10.0,2500.0,28.640229194788862,1.0
4.0,9.0,2250.0,29.519026935122945,1.0
3.2494445538446914,3.0,750.0,70.14104895727064,1.0
12.922624234409644,2.0,500.0,27.10512933834535,1.0
4.728201265987172,7.0,1750.0,58.0,1.0
2.6913345666477264,7.0,1750.0,32.0,1.0
4.0,1.0,250.0,4.0,1.0
4.0,5.0,1250.0,14.947923280525744,1.0
3.3351154770420544,8.0,2000.0,43.340461908168216,1.0
2.0,5.0,1250.0,16.0,1.0
4.0,5.0,1250.0,14.384578037617342,1.0
20.30523352346986,1.0,250.0,20.30523352346986,1.0
2.0,1.0,250.0,2.0,1.0
4.8856386438721655,2.0,500.0,11.0,1.0
2.0,7.0,1750.0,48.124125811320965,1.0
3.0887025337570555,1.0,250.0,3.0887025337570555,1.0
10.155548902295795,9.0,2250.0,66.45074992937236,1.0
6.696106159836371,8.0,2000.0,38.92155753606545,1.0
3.587332563188415,7.0,1750.0,24.063337184057925,1.0
5.278428749432679,3.0,750.0,11.549889027336528,1.0
4.0,1.0,250.0,4.0,1.0
4.0,16.690394828629366,4172.598707157342,60.783029344769055,1.0
4.882063580476704,45.80343930079451,11450.859825198626,98.0,1.0
2.0,6.0,1500.0,26.796462393454256,1.0
5.3488964945818305,13.372099610509093,3343.024902627273,60.441992210181844,1.0
14.572313223642103,2.0,500.0,33.85537355271579,1.0
12.735786241067773,4.0,1000.0,25.528427517864454,1.0
4.0,6.0,1500.0,29.02865879308643,1.0
2.1832338795645914,7.0,1750.0,14.732935518258365,1.0
