Set,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],logBCF,Class
1,3.0,6.099,1.77,0.34,1.48,2.33,1.0,1.0,4.0,2.27,1.0
1,1.0,2.944,0.45,0.28,3.25,2.48,1.0,1.0,1.0,2.22,2.0
1,0.0,3.27,1.31,0.17,1.82,1.44,1.0,0.0,5.0,0.35,3.0
1,6.0,4.043,0.16,0.29,1.4,1.86,2.0,1.0,2.0,0.0,3.0
0,3.0,0.0,1.26,0.19,2.74,0.78,0.0,0.0,3.0,2.07,1.0
1,0.0,4.174,0.63,0.13,2.36,1.23,0.0,1.0,0.0,-0.3,1.0
1,1.0,6.267,1.94,0.14,2.9,1.53,1.0,1.0,3.0,1.45,1.0
1,4.0,6.124,2.28,0.2,4.97,1.24,0.0,0.0,2.0,4.14,1.0
1,2.0,4.541,1.19,0.24,3.09,2.13,1.0,1.0,3.0,2.25,1.0
0,5.0,4.66,1.25,0.28,3.21,1.84,0.0,1.0,7.0,3.1,1.0
1,0.0,2.565,0.0,0.35,5.0,3.0,0.0,0.0,0.0,3.95,2.0
0,1.0,5.485,1.64,0.24,5.65,3.86,0.0,0.0,18.0,2.73,3.0
1,2.0,4.447,1.47,0.26,1.6,1.18,0.0,1.0,9.0,1.89,1.0
0,4.0,0.0,0.12,0.71,1.32,2.05,0.0,0.0,2.0,2.68,1.0
0,4.0,1.099,0.12,0.68,1.65,2.3,0.0,0.0,4.0,2.48,1.0
0,3.0,0.0,0.16,0.66,0.18,1.31,0.0,0.0,2.0,0.45,1.0
1,1.0,2.565,0.08,0.31,4.27,4.31,0.0,0.0,10.0,0.62,3.0
0,5.0,4.275,1.29,0.3,3.32,1.07,0.0,0.0,5.0,3.58,1.0
1,5.0,0.0,0.12,0.44,2.36,0.76,0.0,0.0,3.0,0.93,1.0
1,2.0,0.0,0.29,0.5,-0.76,0.84,1.0,1.0,2.0,-1.52,3.0
1,4.0,7.131,2.49,0.17,4.09,1.25,0.0,0.0,4.0,3.48,3.0
1,6.0,6.028,0.65,0.23,5.36,1.69,0.0,0.0,0.0,3.82,3.0
0,1.0,2.197,0.61,0.21,1.8,1.79,2.0,1.0,7.0,0.6,1.0
1,5.0,6.529,2.31,0.21,6.23,1.21,0.0,0.0,0.0,4.38,1.0
1,0.0,3.684,1.31,0.18,1.85,1.85,1.0,1.0,5.0,1.42,1.0
1,2.0,0.0,1.51,0.17,3.11,0.7,0.0,1.0,4.0,2.16,1.0
1,4.0,0.0,0.0,0.43,4.2,0.79,0.0,0.0,0.0,2.17,3.0
1,4.0,6.386,2.31,0.21,5.99,1.22,0.0,0.0,0.0,4.56,1.0
0,4.0,6.347,2.32,0.21,5.99,1.22,0.0,0.0,0.0,5.08,1.0
1,4.0,6.477,2.28,0.2,5.99,1.22,0.0,0.0,0.0,4.35,1.0
0,5.0,6.529,2.31,0.21,6.23,1.21,0.0,0.0,0.0,4.28,1.0
1,1.0,5.784,1.98,0.19,3.9,1.85,0.0,0.0,4.0,2.6,1.0
1,8.0,7.529,2.52,0.19,5.03,1.2,0.0,0.0,4.0,3.12,3.0
0,6.0,6.751,2.29,0.21,6.47,1.19,0.0,0.0,0.0,5.97,2.0
1,2.0,0.0,0.0,0.32,1.39,0.84,0.0,0.0,0.0,0.42,1.0
1,2.0,3.726,1.28,0.2,2.65,1.2,2.0,1.0,2.0,0.95,3.0
0,2.0,4.067,1.26,0.18,2.65,1.2,2.0,1.0,4.0,1.27,3.0
0,0.0,6.186,3.28,0.19,4.9,2.58,0.0,1.0,0.0,3.26,3.0
1,0.0,6.081,1.36,0.23,6.63,7.19,0.0,0.0,25.0,0.6,3.0
1,4.0,6.306,2.28,0.2,5.99,1.23,0.0,0.0,0.0,4.39,1.0
0,4.0,6.241,2.31,0.2,5.99,1.23,0.0,0.0,0.0,4.71,1.0
1,2.0,4.799,1.24,0.28,2.43,2.71,0.0,1.0,8.0,1.8,3.0
1,1.0,4.15,1.38,0.21,-0.26,1.09,1.0,1.0,6.0,-0.12,1.0
1,4.0,7.128,2.5,0.18,4.09,1.23,0.0,0.0,4.0,3.76,3.0
0,2.0,7.064,2.38,0.19,1.32,1.41,0.0,1.0,8.0,1.43,1.0
1,0.0,2.303,0.07,0.09,4.17,1.07,0.0,0.0,2.0,3.12,2.0
1,0.0,3.332,0.06,0.1,5.12,1.33,0.0,0.0,2.0,2.65,2.0
1,2.0,3.446,1.23,0.32,1.6,1.12,0.0,0.0,5.0,1.89,1.0
1,0.0,4.849,1.6,0.2,3.81,2.65,0.0,1.0,8.0,3.29,1.0
1,3.0,6.124,2.28,0.18,3.84,1.25,0.0,0.0,4.0,1.7,3.0
1,2.0,6.975,2.48,0.16,3.05,1.25,0.0,0.0,4.0,2.47,3.0
0,1.0,2.409,1.02,0.24,1.24,1.69,2.0,1.0,0.0,0.42,1.0
1,1.0,4.766,1.29,0.19,3.18,2.49,1.0,1.0,5.0,1.3,3.0
1,5.0,4.627,1.21,0.44,3.63,2.17,0.0,0.0,6.0,3.77,1.0
1,4.0,0.0,1.26,0.22,3.62,0.64,0.0,1.0,0.0,2.52,1.0
1,2.0,6.019,2.31,0.19,4.95,1.25,0.0,0.0,0.0,3.92,1.0
1,2.0,6.099,2.28,0.2,4.95,1.25,0.0,0.0,0.0,3.44,1.0
1,6.0,6.609,2.34,0.21,6.47,1.19,0.0,0.0,0.0,5.56,2.0
0,6.0,6.609,2.34,0.21,6.47,1.2,0.0,0.0,0.0,5.88,2.0
1,7.0,6.724,2.33,0.21,6.7,1.19,0.0,0.0,0.0,6.06,2.0
1,1.0,5.356,2.1,0.15,3.51,1.57,2.0,1.0,5.0,2.35,1.0
1,2.0,5.758,1.79,0.19,3.14,1.78,0.0,1.0,4.0,1.81,3.0
1,4.0,6.326,2.35,0.21,5.99,1.22,0.0,0.0,0.0,4.45,1.0
1,8.0,6.853,2.34,0.21,6.93,1.18,0.0,0.0,0.0,5.81,2.0
1,7.0,7.447,2.51,0.18,4.8,1.21,0.0,0.0,4.0,3.67,3.0
1,2.0,4.995,1.47,0.27,3.07,2.73,0.0,1.0,13.0,2.46,3.0
1,4.0,6.285,2.34,0.2,5.99,1.23,0.0,0.0,0.0,4.53,1.0
1,2.0,5.526,1.3,0.18,2.01,1.98,3.0,1.0,8.0,2.19,1.0
1,0.0,2.944,0.06,0.1,4.66,1.2,0.0,0.0,2.0,3.4,2.0
1,0.0,4.159,0.04,0.1,6.82,1.87,0.0,0.0,2.0,4.26,2.0
0,0.0,4.123,1.35,0.18,2.39,2.08,1.0,0.0,5.0,0.94,3.0
1,3.0,6.149,2.35,0.2,5.47,1.24,0.0,0.0,0.0,4.23,1.0
1,5.0,6.442,2.34,0.21,6.23,1.21,0.0,0.0,0.0,5.05,1.0
1,2.0,5.154,1.35,0.28,1.21,1.11,0.0,0.0,5.0,1.35,1.0
0,2.0,5.247,1.47,0.19,1.6,1.09,1.0,1.0,7.0,1.56,2.0
1,5.0,6.442,2.34,0.21,6.23,1.21,0.0,0.0,0.0,4.7,1.0
0,5.0,6.405,2.34,0.21,6.23,1.21,0.0,0.0,0.0,5.18,2.0
1,6.0,6.609,2.34,0.21,6.47,1.21,0.0,0.0,0.0,5.77,2.0
0,6.0,6.654,2.3,0.21,6.47,1.2,0.0,0.0,0.0,5.88,2.0
1,6.0,6.545,2.4,0.21,6.47,1.21,0.0,0.0,0.0,5.43,2.0
1,3.0,6.173,2.31,0.2,5.47,1.24,0.0,0.0,0.0,4.57,1.0
1,3.0,6.326,2.27,0.2,5.47,1.23,0.0,0.0,0.0,4.58,1.0
1,4.0,6.326,2.35,0.2,5.99,1.23,0.0,0.0,0.0,4.2,1.0
1,8.0,8.281,3.28,0.19,5.91,1.18,0.0,0.0,2.0,2.89,3.0
1,6.0,7.348,2.51,0.18,4.57,1.22,0.0,0.0,4.0,4.0,1.0
1,3.0,7.04,2.5,0.17,3.57,1.25,0.0,0.0,4.0,2.83,3.0
1,0.0,6.428,2.25,0.19,3.56,2.92,0.0,1.0,15.0,3.04,3.0
1,2.0,6.332,1.76,0.19,3.95,1.99,1.0,1.0,6.0,2.82,1.0
1,8.0,6.751,2.39,0.21,6.93,1.18,0.0,0.0,0.0,5.88,2.0
1,5.0,7.275,2.49,0.18,4.33,1.22,0.0,0.0,4.0,4.26,1.0
0,0.0,4.888,1.63,0.17,3.55,2.63,0.0,1.0,10.0,3.71,1.0
1,2.0,1.386,0.0,0.48,4.76,2.39,0.0,0.0,0.0,1.93,3.0
1,1.0,5.178,0.54,0.6,5.52,4.61,0.0,1.0,0.0,3.88,1.0
1,0.0,6.637,2.45,0.2,4.8,2.91,0.0,1.0,0.0,3.59,3.0
0,4.0,6.326,2.35,0.2,5.99,1.23,0.0,0.0,0.0,4.84,2.0
1,4.0,6.285,2.34,0.21,5.99,1.22,0.0,0.0,0.0,4.26,1.0
1,4.0,6.263,2.38,0.2,5.99,1.23,0.0,0.0,0.0,4.46,1.0
0,5.0,6.442,2.34,0.21,6.23,1.21,0.0,0.0,0.0,5.43,2.0
1,1.0,5.187,1.4,0.23,2.57,2.95,0.0,1.0,4.0,2.27,2.0
0,4.0,6.698,2.17,0.24,4.46,2.64,0.0,0.0,4.0,2.26,3.0
1,2.0,6.745,2.46,0.16,3.72,1.6,0.0,1.0,13.0,3.18,1.0
0,1.0,6.709,2.4,0.14,4.12,2.04,0.0,1.0,7.0,3.21,1.0
1,1.0,5.736,1.67,0.2,3.32,2.0,0.0,1.0,7.0,1.81,1.0
1,0.0,0.0,1.23,0.16,-0.15,0.61,0.0,1.0,0.0,0.07,1.0
1,3.0,6.193,2.31,0.18,4.09,1.41,0.0,0.0,5.0,3.5,1.0
0,0.0,6.196,2.27,0.19,1.59,1.67,0.0,1.0,0.0,0.28,1.0
1,0.0,6.423,2.39,0.16,2.02,1.13,0.0,1.0,0.0,0.78,1.0
1,0.0,7.247,3.15,0.14,2.22,1.77,0.0,1.0,6.0,0.46,3.0
1,0.0,0.0,1.26,0.21,3.56,1.47,0.0,0.0,0.0,2.82,1.0
0,0.0,4.111,1.16,0.26,3.74,2.08,0.0,0.0,0.0,3.91,1.0
1,3.0,4.559,1.47,0.26,2.19,1.17,0.0,1.0,9.0,1.55,3.0
0,5.0,5.901,2.01,0.25,6.17,1.54,0.0,0.0,0.0,3.95,3.0
1,2.0,0.0,1.39,0.18,2.89,0.74,0.0,0.0,4.0,0.02,3.0
1,0.0,9.316,5.33,0.15,5.55,2.05,0.0,0.0,0.0,2.73,3.0
1,3.0,0.0,1.26,0.21,3.62,0.78,0.0,0.0,1.0,2.53,1.0
1,0.0,0.0,0.0,0.29,1.55,1.67,0.0,1.0,0.0,0.45,1.0
0,0.0,0.0,1.23,0.16,-0.15,0.61,0.0,1.0,0.0,0.44,1.0
1,0.0,0.0,1.23,0.16,0.67,0.62,0.0,1.0,0.0,1.04,2.0
1,2.0,2.833,0.57,0.28,1.83,2.3,0.0,0.0,4.0,1.57,1.0
1,2.0,6.063,1.96,0.17,3.93,2.09,0.0,0.0,14.0,2.71,3.0
1,4.0,7.856,3.24,0.18,4.97,1.21,0.0,0.0,2.0,3.69,3.0
1,0.0,4.143,0.55,0.19,2.29,2.43,2.0,1.0,4.0,0.84,1.0
1,1.0,6.906,3.02,0.18,3.14,2.17,0.0,1.0,12.0,1.58,3.0
0,1.0,0.0,0.17,0.33,0.11,0.63,0.0,0.0,0.0,-0.06,1.0
1,0.0,0.0,1.7,0.12,1.4,0.79,0.0,1.0,9.0,0.31,1.0
0,2.0,0.0,1.36,0.18,2.89,0.73,0.0,0.0,4.0,0.1,3.0
1,1.0,6.554,2.94,0.18,4.83,3.14,0.0,1.0,15.0,3.01,3.0
1,2.0,5.901,2.24,0.18,4.47,1.27,0.0,0.0,2.0,3.97,1.0
1,2.0,6.49,2.4,0.19,3.91,2.73,0.0,1.0,13.0,2.5,3.0
1,3.0,6.019,2.23,0.19,4.72,1.26,0.0,0.0,2.0,3.64,1.0
1,6.0,6.561,2.37,0.21,6.47,1.2,0.0,0.0,0.0,5.54,2.0
1,0.0,0.0,1.25,0.21,3.26,1.26,0.0,0.0,0.0,2.31,1.0
1,4.0,0.0,0.13,0.38,0.49,0.76,0.0,0.0,2.0,-0.39,3.0
1,6.0,6.577,2.34,0.21,6.47,1.2,0.0,0.0,0.0,5.81,2.0
1,7.0,6.654,2.35,0.21,6.7,1.19,0.0,0.0,0.0,5.93,2.0
0,5.0,0.0,1.27,0.22,3.91,0.64,0.0,1.0,0.0,2.71,3.0
1,0.0,0.0,1.25,0.2,2.51,1.26,0.0,0.0,1.0,0.91,3.0
0,1.0,4.492,1.12,0.25,3.09,2.65,1.0,1.0,3.0,2.84,1.0
0,2.0,6.49,2.4,0.23,4.12,2.73,0.0,1.0,13.0,2.83,3.0
1,0.0,0.0,1.68,0.13,1.75,0.99,0.0,1.0,9.0,0.25,3.0
1,0.0,0.0,1.22,0.24,3.56,1.56,0.0,0.0,0.0,2.75,1.0
1,0.0,9.194,5.9,0.15,5.92,2.26,0.0,0.0,0.0,2.8,3.0
1,3.0,0.0,1.25,0.2,3.62,0.78,0.0,0.0,1.0,2.96,1.0
1,3.0,0.0,1.25,0.22,3.35,0.79,0.0,0.0,2.0,3.07,1.0
1,3.0,0.0,1.25,0.21,3.62,0.77,0.0,0.0,1.0,3.09,1.0
1,2.0,0.0,1.23,0.23,3.48,0.63,0.0,0.0,0.0,2.44,1.0
0,1.0,0.0,1.23,0.22,2.88,0.65,0.0,0.0,0.0,2.35,1.0
1,0.0,0.0,1.48,0.15,1.7,0.92,0.0,1.0,5.0,0.86,3.0
0,0.0,0.0,0.0,0.36,2.89,2.33,0.0,0.0,4.0,2.3,3.0
1,0.0,3.596,1.23,0.22,3.92,2.73,0.0,0.0,5.0,2.47,3.0
1,0.0,6.778,2.66,0.19,4.09,2.71,0.0,1.0,7.0,2.31,3.0
1,1.0,5.686,1.63,0.2,3.41,2.07,0.0,1.0,7.0,1.32,3.0
1,2.0,0.0,0.86,0.36,-0.23,1.17,0.0,0.0,4.0,0.63,1.0
1,3.0,4.007,1.26,0.32,2.49,1.47,0.0,0.0,6.0,2.39,1.0
0,2.0,0.0,1.24,0.21,2.73,0.66,0.0,1.0,0.0,1.38,1.0
1,0.0,0.0,1.49,0.14,1.35,0.72,0.0,1.0,5.0,1.4,1.0
1,0.0,0.0,1.48,0.14,1.7,0.88,0.0,1.0,5.0,0.75,1.0
1,4.0,0.0,0.0,0.73,-0.64,2.33,0.0,0.0,16.0,4.08,1.0
1,3.0,6.612,2.38,0.2,5.03,1.01,0.0,0.0,0.0,4.43,2.0
1,5.0,4.275,1.29,0.29,2.64,1.01,0.0,1.0,3.0,3.26,1.0
1,4.0,4.239,1.49,0.17,2.71,0.86,1.0,1.0,9.0,0.49,1.0
1,4.0,0.0,0.0,0.64,2.23,0.14,0.0,0.0,0.0,0.95,3.0
1,4.0,6.188,2.23,0.2,4.97,1.24,0.0,0.0,2.0,4.43,1.0
0,2.0,2.944,0.0,1.15,6.32,6.83,0.0,0.0,6.0,3.99,2.0
1,2.0,4.78,1.42,0.25,2.22,2.01,0.0,1.0,13.0,2.05,3.0
1,0.0,6.113,2.0,0.15,2.19,2.1,0.0,1.0,3.0,1.54,3.0
1,0.0,8.633,4.71,0.16,5.17,1.86,0.0,0.0,0.0,2.48,3.0
1,5.0,6.405,2.39,0.21,6.23,1.21,0.0,0.0,0.0,4.81,2.0
1,5.0,6.442,2.33,0.21,6.23,1.21,0.0,0.0,0.0,4.81,1.0
1,3.0,6.501,1.75,0.23,3.17,2.45,0.0,0.0,14.0,2.73,1.0
0,4.0,4.523,1.3,0.3,3.05,1.29,0.0,0.0,5.0,2.85,1.0
1,3.0,0.0,1.26,0.19,2.74,0.78,0.0,0.0,3.0,2.46,1.0
0,0.0,6.046,2.26,0.18,4.41,1.85,0.0,0.0,0.0,2.82,3.0
1,5.0,7.974,3.26,0.18,5.22,1.2,0.0,0.0,2.0,4.13,3.0
1,4.0,7.849,3.26,0.18,4.97,1.21,0.0,0.0,2.0,2.72,3.0
1,5.0,7.969,3.25,0.18,5.22,1.2,0.0,0.0,2.0,3.58,3.0
1,5.0,7.969,3.27,0.18,5.22,1.21,0.0,0.0,2.0,3.57,3.0
0,3.0,0.0,0.0,0.36,1.94,0.72,0.0,0.0,0.0,0.27,3.0
1,5.0,6.609,2.28,0.21,6.23,1.21,0.0,0.0,0.0,4.68,1.0
1,0.0,6.423,2.38,0.18,3.96,1.46,0.0,0.0,0.0,3.37,1.0
0,2.0,0.0,1.25,0.2,2.73,0.64,0.0,0.0,1.0,1.23,1.0
1,8.0,4.89,0.34,0.25,5.47,1.46,0.0,0.0,0.0,4.29,1.0
1,0.0,5.062,1.27,0.17,1.91,2.26,1.0,1.0,11.0,0.84,1.0
1,0.0,0.0,1.29,0.17,1.95,1.2,1.0,1.0,2.0,0.07,1.0
1,0.0,6.423,2.38,0.18,3.96,1.46,0.0,0.0,0.0,2.71,1.0
1,1.0,3.956,2.09,0.17,1.7,0.84,0.0,1.0,0.0,0.41,1.0
1,2.0,0.0,1.24,0.2,2.73,0.63,0.0,0.0,1.0,1.11,3.0
1,4.0,0.0,1.26,0.21,3.62,0.61,0.0,0.0,1.0,2.16,3.0
1,1.0,0.0,0.61,0.21,1.65,1.52,2.0,1.0,9.0,0.78,1.0
0,3.0,6.019,2.24,0.19,4.72,1.25,0.0,0.0,2.0,3.79,1.0
1,3.0,6.099,2.31,0.26,5.84,1.24,0.0,0.0,0.0,3.87,3.0
1,1.0,0.0,1.23,0.24,2.3,0.64,0.0,0.0,1.0,1.1,1.0
1,0.0,0.0,1.23,0.16,0.89,0.69,0.0,1.0,1.0,1.22,2.0
1,2.0,0.0,1.24,0.21,2.73,0.62,0.0,0.0,1.0,1.92,1.0
0,1.0,3.056,1.21,0.21,2.89,1.9,0.0,1.0,0.0,0.84,3.0
1,6.0,6.577,2.38,0.31,7.15,1.19,0.0,0.0,0.0,4.66,1.0
1,1.0,2.151,1.22,0.19,1.63,1.02,0.0,0.0,4.0,0.39,1.0
1,1.0,0.0,1.24,0.2,2.46,0.84,0.0,0.0,2.0,0.98,3.0
0,3.0,3.611,0.64,0.27,0.52,1.82,2.0,1.0,4.0,0.8,1.0
1,5.0,6.263,2.28,0.2,5.22,1.23,0.0,0.0,2.0,4.21,1.0
0,5.0,6.292,2.26,0.2,5.22,1.23,0.0,0.0,2.0,4.08,3.0
0,5.0,6.386,2.37,0.21,6.23,1.21,0.0,0.0,0.0,4.58,1.0
1,2.0,6.911,2.36,0.17,3.62,1.86,0.0,1.0,4.0,2.05,1.0
0,2.0,6.117,1.51,0.18,4.17,2.48,0.0,1.0,8.0,2.06,1.0
0,0.0,0.0,0.0,0.26,0.8,1.17,0.0,0.0,0.0,0.61,1.0
1,0.0,5.078,1.71,0.12,1.43,0.94,0.0,1.0,18.0,0.55,1.0
1,3.0,0.0,0.26,0.59,-0.76,1.03,1.0,1.0,2.0,0.18,1.0
1,6.0,6.201,0.34,0.22,4.45,1.81,0.0,0.0,2.0,3.89,1.0
1,0.0,0.0,1.71,0.14,2.24,1.0,0.0,1.0,12.0,1.34,1.0
1,0.0,6.113,2.39,0.15,3.39,1.65,0.0,0.0,11.0,1.01,3.0
0,6.0,0.0,0.0,0.32,4.09,0.95,0.0,0.0,0.0,2.81,1.0
1,5.0,0.0,1.26,0.23,4.93,0.6,0.0,0.0,0.0,3.84,1.0
1,0.0,4.808,1.74,0.14,2.24,0.99,0.0,1.0,8.0,0.21,3.0
1,2.0,0.0,1.5,0.18,3.11,0.7,0.0,1.0,4.0,2.07,1.0
0,0.0,0.0,1.24,0.19,2.19,1.13,0.0,1.0,0.0,0.9,1.0
1,2.0,5.538,1.25,0.17,3.61,1.61,1.0,1.0,3.0,2.46,1.0
1,0.0,3.446,1.52,0.16,2.57,1.3,0.0,1.0,6.0,1.14,1.0
0,3.0,0.0,1.25,0.21,3.62,0.77,0.0,0.0,1.0,2.8,1.0
1,0.0,7.859,3.53,0.17,4.59,1.65,0.0,0.0,0.0,2.41,3.0
1,4.0,6.157,2.24,0.2,4.97,1.24,0.0,0.0,2.0,4.11,1.0
0,4.0,6.173,2.25,0.2,4.97,1.24,0.0,0.0,2.0,4.24,1.0
1,1.0,0.0,1.24,0.2,2.46,0.84,0.0,0.0,2.0,0.62,3.0
1,1.0,0.0,0.95,0.3,1.58,0.64,0.0,0.0,0.0,0.72,3.0
1,0.0,5.901,2.19,0.2,4.92,2.12,0.0,0.0,0.0,2.86,3.0
1,0.0,0.0,0.95,0.13,-0.23,0.39,0.0,1.0,0.0,0.24,1.0
1,2.0,0.0,1.49,0.18,3.11,0.69,0.0,1.0,4.0,2.23,1.0
1,2.0,6.329,2.38,0.2,4.58,2.67,0.0,0.0,12.0,2.65,3.0
1,0.0,0.0,1.21,0.2,2.51,1.49,0.0,1.0,0.0,0.52,3.0
1,0.0,0.0,1.79,0.15,1.4,0.78,0.0,1.0,0.0,0.23,1.0
1,0.0,3.056,1.31,0.17,1.68,1.6,1.0,1.0,3.0,1.23,2.0
0,0.0,0.0,1.23,0.18,1.51,0.69,0.0,1.0,0.0,0.26,1.0
0,1.0,0.0,0.24,0.29,-1.43,0.21,2.0,0.0,0.0,0.05,1.0
1,0.0,0.0,1.8,0.15,1.4,0.78,0.0,1.0,0.0,0.58,1.0
0,3.0,0.0,1.24,0.36,4.51,0.61,0.0,0.0,0.0,3.62,1.0
1,0.0,0.0,0.0,0.3,1.2,1.4,0.0,1.0,0.0,0.51,1.0
0,3.0,0.0,0.44,0.32,1.25,0.68,0.0,0.0,3.0,-0.25,3.0
1,0.0,1.946,0.12,0.31,4.17,2.97,0.0,0.0,2.0,2.4,3.0
1,0.0,6.64,2.47,0.15,2.22,1.45,1.0,0.0,5.0,1.3,1.0
1,4.0,0.0,1.26,0.23,4.63,0.61,0.0,0.0,0.0,3.52,1.0
1,3.0,0.0,1.26,0.21,3.31,0.66,0.0,1.0,0.0,2.0,1.0
1,4.0,0.0,1.26,0.21,3.62,0.64,0.0,1.0,0.0,2.21,3.0
1,4.0,0.0,1.25,0.24,4.63,0.6,0.0,0.0,0.0,3.36,1.0
1,3.0,0.0,1.25,0.21,3.31,0.65,0.0,1.0,0.0,2.36,1.0
1,3.0,0.0,1.25,0.22,3.31,0.65,0.0,1.0,0.0,2.04,1.0
0,4.0,0.0,1.25,0.36,5.21,0.6,0.0,0.0,0.0,3.7,1.0
1,3.0,0.0,1.25,0.22,3.31,0.65,0.0,1.0,0.0,2.33,1.0
1,2.0,6.711,2.33,0.58,6.2,2.06,0.0,0.0,0.0,3.14,1.0
0,1.0,5.58,2.08,0.14,3.08,1.74,2.0,1.0,6.0,2.79,3.0
0,0.0,3.85,0.9,0.26,3.97,3.58,0.0,0.0,7.0,2.66,3.0
1,0.0,0.0,1.36,0.15,1.7,0.77,0.0,0.0,4.0,1.0,1.0
0,1.0,5.704,1.72,0.2,4.0,2.79,2.0,1.0,5.0,2.35,3.0
1,2.0,5.596,1.79,0.21,4.6,2.15,0.0,1.0,0.0,1.97,1.0
0,0.0,6.094,2.29,0.15,4.18,2.28,1.0,1.0,6.0,1.65,3.0
0,3.0,0.0,1.25,0.23,4.37,0.82,0.0,0.0,0.0,3.78,2.0
1,1.0,7.079,3.18,0.15,3.47,2.55,0.0,1.0,11.0,0.69,3.0
0,0.0,4.676,1.26,0.23,3.49,2.17,0.0,0.0,2.0,0.63,3.0
0,0.0,4.078,0.29,0.22,1.02,2.84,1.0,1.0,10.0,0.21,1.0
1,4.0,7.156,2.49,0.17,4.09,1.23,0.0,0.0,4.0,3.35,3.0
1,0.0,3.434,0.0,0.27,3.87,3.39,0.0,0.0,14.0,3.99,3.0
0,7.0,8.186,3.27,0.19,5.69,1.19,0.0,0.0,2.0,3.45,3.0
1,0.0,4.716,1.08,0.25,3.83,3.57,0.0,1.0,1.0,3.03,1.0
1,3.0,0.0,0.0,0.74,1.82,0.14,0.0,0.0,0.0,0.96,1.0
1,1.0,0.0,0.24,0.74,-0.32,0.36,0.0,0.0,0.0,0.35,1.0
0,6.0,0.0,0.0,0.46,3.29,0.28,0.0,0.0,0.0,2.42,1.0
0,3.0,5.091,1.71,0.19,3.37,2.41,1.0,1.0,6.0,2.59,1.0
1,1.0,0.0,0.14,0.43,1.35,1.35,0.0,0.0,0.0,-0.55,3.0
1,1.0,6.517,2.46,0.17,4.22,2.87,0.0,1.0,13.0,3.29,3.0
1,0.0,0.0,0.22,0.27,-0.27,0.52,1.0,0.0,0.0,-0.11,1.0
1,2.0,6.576,2.38,0.19,4.28,2.72,0.0,1.0,13.0,2.7,3.0
1,1.0,5.548,1.34,0.23,2.96,2.66,2.0,1.0,4.0,2.71,1.0
1,4.0,0.0,1.26,0.21,3.91,0.77,0.0,0.0,1.0,3.69,1.0
0,0.0,0.0,1.23,0.19,2.19,1.12,0.0,1.0,0.0,0.86,1.0
0,1.0,6.501,2.31,0.14,3.41,2.04,0.0,1.0,6.0,1.23,3.0
1,3.0,6.263,2.3,0.2,5.47,1.23,0.0,0.0,0.0,4.33,1.0
1,0.0,6.654,2.98,0.16,4.25,3.3,0.0,1.0,16.0,3.6,3.0
0,6.0,6.551,2.35,0.2,4.8,1.4,0.0,0.0,4.0,2.1,3.0
0,1.0,4.123,1.3,0.18,2.38,1.4,0.0,0.0,3.0,0.48,3.0
1,2.0,3.056,1.31,0.2,3.08,1.37,1.0,1.0,2.0,1.94,1.0
1,0.0,0.0,0.0,0.35,3.12,1.5,0.0,0.0,0.0,0.63,1.0
1,3.0,0.0,0.0,0.61,2.23,0.36,0.0,0.0,0.0,0.59,3.0
0,0.0,5.9,1.93,0.17,3.65,2.75,1.0,1.0,10.0,1.76,1.0
1,2.0,6.981,2.54,0.17,2.83,1.85,1.0,1.0,14.0,0.78,3.0
1,3.0,6.055,2.03,0.22,4.27,1.89,0.0,0.0,2.0,2.5,3.0
1,0.0,6.08,2.21,0.16,2.37,2.48,1.0,1.0,7.0,2.33,3.0
0,4.0,5.901,2.15,0.21,5.85,1.44,0.0,0.0,0.0,4.3,1.0
1,1.0,3.726,1.22,0.23,2.89,2.13,0.0,1.0,0.0,1.93,1.0
1,4.0,4.343,1.19,0.31,2.85,1.56,0.0,1.0,6.0,1.87,3.0
0,3.0,5.671,1.48,0.35,1.02,1.52,1.0,1.0,4.0,0.41,3.0
0,0.0,0.0,1.23,0.27,4.91,2.95,0.0,0.0,7.0,4.16,1.0
1,1.0,4.5,0.69,0.27,2.3,3.71,0.0,1.0,9.0,0.93,3.0
0,1.0,6.278,2.38,0.15,2.99,1.4,0.0,1.0,6.0,3.46,2.0
1,1.0,0.0,1.36,0.17,2.3,0.75,0.0,0.0,4.0,1.0,3.0
0,2.0,7.199,3.33,0.16,5.07,1.6,0.0,1.0,0.0,2.39,1.0
1,4.0,4.345,1.11,0.42,1.57,2.79,0.0,1.0,12.0,2.94,1.0
1,1.0,5.951,2.28,0.17,1.67,2.0,2.0,1.0,12.0,0.0,3.0
1,0.0,6.634,3.12,0.16,4.34,2.03,0.0,1.0,0.0,3.13,1.0
0,2.0,7.557,3.25,0.17,3.93,1.24,0.0,0.0,2.0,3.01,3.0
0,2.0,0.0,0.0,1.58,1.6,0.14,0.0,0.0,0.0,0.53,1.0
1,2.0,0.0,0.0,0.91,1.36,0.14,0.0,0.0,0.0,1.22,2.0
0,2.0,0.0,0.54,0.75,-0.05,0.08,0.0,0.0,0.0,1.29,1.0
1,3.0,0.0,0.0,2.23,2.42,0.14,0.0,0.0,0.0,1.18,1.0
0,2.0,0.0,0.24,0.48,1.67,0.2,0.0,0.0,0.0,1.0,1.0
